-3,-3,-14,-4,-3,-7,-6,-3
-4,-2,4,-3,-5,3,8,-2
-1,1,10,1,0,-1,-4,1
-1,-1,-1,-7,-3,-5,-1,-6
-2,0,-8,-8,-4,2,-9,-1
1,-5,-28,-11,-5,-2,-2,5
-3,-6,18,13,0,7,4,-12
-6,-2,-1,4,-5,-7,-11,-6
-4,-10,-29,-5,-3,0,0,-1
-4,-5,2,36,1,-13,-4,-3
-1,2,25,0,3,12,18,5
-1,1,-12,-17,-8,-2,-8,-3
-4,-2,5,5,-2,-6,-13,-3
-6,1,-9,-16,-1,-13,-39,-15
1,3,-14,-18,-13,9,66,29
-5,3,-5,19,1,-9,-13,-5
-3,8,44,16,1,3,10,2
-2,-1,-1,-22,0,-2,-8,3
1,-3,-27,-20,-9,-15,-16,0
-2,-2,0,-22,-5,1,5,7
0,10,47,11,-5,-3,-2,-4
0,-12,-62,-76,-12,-3,1,0
0,2,21,12,0,-5,-9,-3
2,-7,-17,-45,-11,-4,-8,0
8,0,3,33,1,15,19,6
4,1,27,15,-2,3,18,6
0,-9,-13,-23,4,0,-11,0
-1,6,22,-56,-54,-2,-7,-7
-2,-6,-7,68,64,18,1,1
-4,-6,40,67,41,15,2,-1
-6,-3,-8,-34,-14,-12,-16,-10
-1,-9,-15,33,0,1,10,2
-2,13,-2,-71,-39,-18,-4,-3
-4,5,21,-14,-2,4,4,-5
-5,-24,-18,-11,-11,-13,-21,-7
-1,8,-13,-79,-55,-18,15,7
-3,-4,-36,42,-28,5,4,3
-2,-21,10,103,43,11,-2,-9
0,7,-8,-68,-6,-11,2,8
3,20,19,29,-22,-6,-4,6
-9,-25,17,10,67,47,-11,-21
-7,16,14,-131,-116,-21,-12,-18
-3,-9,-4,119,100,43,10,9
-3,-2,0,-107,-27,-12,17,29
-1,0,-9,-126,63,15,-17,0
0,0,15,95,105,3,-22,-32
-17,-20,-12,-99,-95,-42,-40,-19
9,7,5,5,79,49,27,41
-2,-14,-16,87,-22,0,15,17
2,18,29,-58,-28,12,31,21
-2,3,-4,22,6,-28,-42,-40
-8,-10,35,125,117,31,-53,-44
7,3,-32,-128,-113,-10,32,45
-3,-11,-13,-100,-83,-49,-17,-16
10,9,-28,30,11,17,40,38
1,-6,23,78,-21,9,7,-3
6,0,-24,-3,-3,-17,-12,0
6,20,88,99,-4,7,-1,13
0,14,23,-6,-33,7,34,14
17,-19,-120,-94,-33,-24,-6,3
-5,6,54,42,0,-50,-12,-29
-30,-25,45,83,24,55,-14,23
39,23,-53,-61,-29,18,69,13
-68,-21,-6,-5,9,-16,-26,-53
32,11,43,31,0,4,-22,24
-60,1,32,-68,-26,52,19,-43
44,-12,-9,5,20,-5,30,23
-15,-17,21,-108,-20,26,6,30
4,-1,-97,-107,-29,-20,-18,-64
-24,-14,-4,40,33,29,-6,-37
38,-28,-3,17,5,-64,-48,71
-71,-30,-13,-29,-7,9,0,-78
13,8,-4,-10,0,-66,9,38
25,21,-45,-31,-9,19,-12,11
-40,-17,-4,-16,8,15,-32,-61
17,32,63,101,22,-53,5,20
10,0,70,102,11,-1,-11,-8
14,0,-85,-68,-31,-22,21,-9
-17,9,75,78,30,0,4,3
42,8,29,59,-2,-35,-19,8
-11,43,52,-33,-15,74,-2,-24
37,-2,-40,-18,-6,-31,-5,22
-18,4,-17,-124,-43,10,10,-19
16,-14,18,86,33,0,0,4
-6,-3,0,27,6,2,-16,-8
-1,-22,-48,-31,-10,-32,6,16
-14,26,29,-16,-8,8,-43,-17
0,-15,0,6,-23,5,15,1
-15,-15,-45,-94,-29,-17,16,5
9,3,1,-51,-35,-6,4,25
-11,-10,13,38,53,10,7,-3
6,17,50,91,56,27,-18,-13
-10,-24,-49,30,-39,-12,-6,-6
5,-24,-29,-69,-10,-17,16,20
0,25,37,43,-15,6,-6,-9
6,7,18,-31,-30,-3,11,12
-14,-34,-93,-100,61,14,20,6
-3,6,-7,67,16,-12,0,-4
-10,10,48,20,-20,-20,-16,-6
3,-3,-67,-47,-27,-17,16,26
-8,3,31,-40,-43,-38,-6,-8
2,21,13,-17,-5,-13,-52,-40
-1,-14,-61,57,93,68,58,22
-1,-6,-16,-60,-77,9,11,15
3,8,63,122,21,38,30,23
-8,-1,16,69,-11,-24,-47,-42
-2,2,19,-5,-16,-4,0,0
4,10,-2,-93,-36,-3,17,7
-15,-16,-15,-99,-56,-8,12,5
12,8,25,87,74,39,41,36
-31,1,33,-61,-56,-74,-108,-112
12,0,-19,-66,2,26,57,37
0,2,0,-69,-43,-5,2,2
-4,-16,40,38,44,4,-33,-8
0,-4,-63,76,65,38,-4,16
-4,-4,-20,-76,-44,-33,-3,-24
2,-5,0,131,129,86,9,-1
-11,8,86,76,22,-15,-38,-42
0,-12,-86,-85,-55,11,8,12
-8,-5,60,66,18,0,6,-9
4,7,64,-18,-51,9,17,22
1,-7,-45,12,-1,1,18,21
3,-1,84,10,-9,-12,1,-14
-8,3,-38,-11,21,2,-9,-4
1,-6,-5,-49,-11,-9,-1,4
3,-1,-114,-103,-28,-10,9,2
6,7,36,-2,-17,-16,-8,7
0,-1,-38,-40,9,1,-11,-13
11,-11,79,108,24,-27,-6,19
