644,19,11,6,2,8,31,32,17,37
64,628,4,15,12,2,17,4,40,21
18,5,501,39,1,17,46,35,140,5
9,14,50,561,26,1,20,85,19,24
0,12,0,12,755,1,3,6,3,10
6,0,23,1,3,755,2,4,9,12
44,18,32,29,4,1,529,101,41,7
26,3,18,69,9,1,76,569,15,21
14,16,165,33,7,15,39,31,460,1
54,18,5,18,9,3,10,14,3,678
592,34,9,3,2,16,39,27,18,67
31,637,4,9,17,6,25,7,54,17
23,8,511,38,0,11,49,24,141,2
8,11,46,572,28,0,26,83,17,18
9,14,0,10,751,1,3,3,5,6
17,6,26,1,2,726,0,4,22,11
35,16,31,26,3,0,556,92,36,11
27,8,24,93,2,3,136,474,12,28
7,30,135,22,2,19,56,13,495,2
51,21,3,14,8,10,10,26,1,668
600,10,8,8,2,12,68,43,10,46
23,684,2,11,6,3,36,6,26,10
21,1,562,38,1,17,31,34,100,2
3,3,27,662,23,0,8,70,4,9
13,3,0,13,751,5,4,8,1,4
4,2,15,0,4,770,0,1,18,1
30,7,43,30,3,4,530,145,11,3
30,3,21,79,2,1,75,584,3,9
5,17,210,8,0,31,22,4,484,0
38,12,0,12,6,4,13,15,0,712
552,28,12,4,0,7,124,34,23,23
17,748,0,3,0,5,11,1,18,4
5,3,515,30,0,11,46,16,178,3
7,5,22,633,24,0,9,90,5,14
9,33,0,6,737,1,3,2,0,11
13,5,49,1,3,627,0,0,106,11
34,12,61,26,0,0,552,92,27,2
36,8,39,129,2,1,147,433,7,5
4,13,180,7,2,14,17,3,541,0
42,46,0,7,11,4,7,14,0,681
577,8,19,3,1,11,76,60,17,35
11,720,2,8,11,2,13,2,26,12
9,6,488,27,0,11,32,33,198,3
11,46,46,549,34,0,27,73,7,16
6,5,0,21,757,4,0,3,0,6
2,5,11,1,5,759,1,0,22,9
55,20,40,34,6,4,444,144,52,7
88,14,51,114,5,3,142,344,22,24
1,20,168,16,5,16,30,11,513,1
33,40,0,8,24,4,14,15,0,674
576,25,8,5,0,7,20,76,10,80
16,725,1,6,0,8,9,6,20,16
4,3,543,33,0,16,16,31,157,4
10,8,44,545,20,0,16,107,28,31
1,18,0,7,760,0,5,6,2,3
3,6,9,3,3,776,0,2,9,4
24,8,73,22,0,0,485,142,46,6
33,3,49,80,1,0,103,500,22,16
4,24,164,26,1,8,15,18,520,1
44,20,3,8,2,6,2,10,0,717
730,4,4,1,0,2,13,12,12,29
14,749,0,8,4,5,4,0,12,11
4,1,601,19,0,16,22,19,124,1
3,3,25,619,22,0,11,100,17,9
4,4,0,2,785,0,1,2,0,4
4,0,4,0,2,795,1,1,7,1
19,8,12,13,0,0,643,101,10,0
15,1,15,68,2,5,117,565,5,14
9,23,120,12,0,17,22,8,569,1
30,7,1,5,1,2,0,6,0,760
574,13,13,4,0,42,58,34,31,38
29,716,2,3,16,8,10,1,11,11
26,12,408,47,0,11,62,48,187,6
21,21,39,554,39,3,11,95,7,19
14,19,0,9,744,4,0,2,0,10
17,7,13,0,9,721,5,3,14,26
83,39,56,21,4,9,412,92,78,12
74,16,60,137,3,21,125,295,32,44
19,35,192,23,1,14,57,19,419,2
58,23,0,8,30,28,1,18,0,646
527,11,26,11,6,16,46,16,16,132
27,492,26,55,56,0,38,13,53,47
34,56,318,48,39,11,72,41,139,49
47,90,77,199,31,3,81,148,76,57
22,64,26,27,469,83,2,6,86,17
22,2,20,6,22,731,1,0,7,4
61,22,31,29,1,0,523,99,13,27
42,20,32,114,5,0,223,313,22,36
33,97,150,49,78,19,57,23,245,30
122,51,43,21,10,3,26,21,17,498
764,4,5,1,0,6,5,4,5,13
14,770,0,0,1,2,3,1,13,3
6,0,689,5,0,5,26,11,63,2
4,3,7,707,20,0,2,58,1,7
3,5,0,1,791,0,1,1,0,0
0,0,7,0,3,797,0,1,7,0
12,4,10,13,0,0,703,57,7,0
11,0,10,40,0,0,71,671,2,2
0,5,113,4,1,6,11,3,638,0
20,2,0,0,0,4,1,1,0,784
