,Precision,Recall,F1score
caimengyuan,0.8103344804951945,0.6588785046728972,0.6273716519825135
chenhuiwen,0.7732962422257039,0.796078431372549,0.7662633067301604
dingyazhuo,0.71758342760181,0.68,0.661629083440055
duqin,0.6345556063437119,0.47619047619047616,0.43890842798547836
gaoyan,0.8192280081727317,0.7889447236180904,0.7773048053956157
huangmingyu,0.5659066095574032,0.5992063492063492,0.5430295336068658
hushuhan,0.8804106258222089,0.8473895582329317,0.8522650568326174
liangxiaohe,0.7762405000733315,0.7469879518072289,0.732019842007977
lihejia,0.869302919739962,0.7831325301204819,0.760056531974269
makaiyan,0.6964158019934913,0.6812749003984063,0.6503553621202152
mayiming,0.9285346215780999,0.92,0.9205330814069415
pengdongmei,0.8871087246087245,0.845,0.8232741187142036
shechen,0.900941980941981,0.855,0.8300221091011248
shenshenyuan,0.9398340006463577,0.94,0.9379776846641719
simengbin,0.7968150050069948,0.8291457286432161,0.8060823029165133
taozi,0.5051414484264761,0.5483870967741935,0.4583885805083962
wangchuhan,0.7084377405430037,0.76,0.7242747268421209
wangruyu,0.8614968080410299,0.7942386831275721,0.7798717358444509
wangshen,0.6506286122551161,0.697560975609756,0.6515210962433754
wangzhaodong,0.9232350404225405,0.8942307692307693,0.8841065203290683
wangzihan,0.7421568389451282,0.5628140703517588,0.530065852642606
wanyuanqiang,0.6802808302808303,0.76,0.7043269126165496
wuhuishuang,0.79593941030614,0.7509881422924901,0.7520668233889083
wujing,0.6295459908529168,0.644,0.5772927730724576
wupanhao,0.7683122703002564,0.74,0.7317749209587735
wuxinmei,0.9389316239316239,0.9,0.8902182808607314
xiejiabao,0.8401901399727485,0.82,0.812905894793737
yanxin,0.8896209643932317,0.805668016194332,0.7761326942131563
yinhuiqi,0.9262203918283773,0.9,0.8779763124337161
zhangqijian,0.927511961722488,0.925,0.9255060728744939
zhangwenxin,0.8679127956167805,0.788,0.7924396433752657
zhangyali,0.9252624521072796,0.892,0.8944594541270351
zhouxufeng,0.8283462142329534,0.7839195979899497,0.7757022385023069
zhuwenbo,0.7412540257648953,0.78,0.7448960688346106
zouxuanning,0.8291178521939244,0.7801724137931034,0.750309725043465
×îÖÕ½á¹û,0.7702030499491207,0.7696510617161306,0.7694634038969412
