,Precision,Recall,F1score
fea0,0.6029414183095941,0.6026325592946727,0.6024660047000702
fea1,0.6162591663336775,0.6149261144914938,0.6144979567803425
fea2,0.6329895953689887,0.6269713150378741,0.6275525305664869
fea3,0.6488603022494779,0.6433627219669689,0.6442629039164375
fea4,0.6704959381764916,0.6686948963119335,0.6680421964540342
fea5,0.639348898503053,0.62572954178567,0.627799920171116
fea6,0.6566332203742142,0.6623618527256923,0.6568295872032358
fea7,0.573260159624014,0.5661244256798709,0.5607234962798264
fea8,0.416965816583021,0.4253073388799205,0.41868541983419444
fea9,0.7716895758962239,0.7713895442692165,0.771139035522821
