695,5,8,4,0,21,27,32,6,9
16,695,12,7,10,10,21,9,20,7
12,14,648,19,2,20,23,10,60,0
7,11,32,683,11,3,13,40,4,5
5,9,5,14,742,4,9,8,2,5
21,4,23,5,2,719,5,7,24,5
31,28,21,24,1,7,644,35,12,3
45,9,13,34,8,11,45,624,9,9
9,24,72,7,1,28,13,9,619,1
22,10,2,13,8,7,7,15,1,729
8612.143742255266,8612.143742255266,8019.80198019802,8442.521631644006,9240.348692403488,8822.085889570551,7990.074441687345,7732.342007434945,7905.491698595148,8955.773955773955
8053.302433371959,8590.852904820766,7751.196172248804,8432.0987654321,9452.229299363058,8662.650602409638,7980.173482032218,7908.745247148289,8177.014531043593,9430.78913324709
8323.353293413173,8601.485148514852,7883.211678832116,8437.306979617046,9345.088161209067,8741.641337386018,7985.120892746436,7819.548872180452,8038.961038961039,9187.145557655953
695,5,8,4,0,21,27,32,6,9
16,695,12,7,10,10,21,9,20,7
12,14,648,19,2,20,23,10,60,0
7,11,32,683,11,3,13,40,4,5
5,9,5,14,742,4,9,8,2,5
21,4,23,5,2,719,5,7,24,5
31,28,21,24,1,7,644,35,12,3
45,9,13,34,8,11,45,624,9,9
9,24,72,7,1,28,13,9,619,1
22,10,2,13,8,7,7,15,1,729
8612.143742255266,8612.143742255266,8019.80198019802,8442.521631644006,9240.348692403488,8822.085889570551,7990.074441687345,7732.342007434945,7905.491698595148,8955.773955773955
8053.302433371959,8590.852904820766,7751.196172248804,8432.0987654321,9452.229299363058,8662.650602409638,7980.173482032218,7908.745247148289,8177.014531043593,9430.78913324709
8323.353293413173,8601.485148514852,7883.211678832116,8437.306979617046,9345.088161209067,8741.641337386018,7985.120892746436,7819.548872180452,8038.961038961039,9187.145557655953
