-7,-3,-13,3,17,1,-3,-9
-5,2,15,-11,-18,-13,-8,-6
-3,-4,-3,0,-4,-5,0,-1
10,4,-2,-5,3,8,2,5
-1,2,14,26,4,5,4,7
1,0,0,-3,5,1,4,3
-17,-12,-2,-2,-3,-2,0,-6
-6,2,2,4,0,-5,-11,-9
2,-2,-4,-33,-17,-7,-1,0
-1,5,-10,18,13,7,-1,1
2,-3,-19,-8,-12,-7,-1,-1
-1,-8,-15,-43,-1,1,3,0
-6,-1,11,12,-15,-6,-5,-9
7,1,3,-3,7,6,4,5
7,1,6,4,-1,-2,2,5
-14,-6,-3,-3,2,2,4,6
8,4,-6,11,10,2,1,0
-3,-4,11,11,-11,-6,-28,-31
3,1,22,15,6,1,6,-2
-2,4,8,-13,7,-6,-7,-5
3,-12,-51,-19,-4,11,9,14
-2,-4,-18,-5,-1,0,6,7
0,-2,1,3,7,5,6,9
8,11,-3,9,-16,4,17,22
-4,0,3,7,5,-7,-20,-26
1,10,30,-9,0,-7,-10,-11
-6,-19,-47,1,-3,-6,-15,-13
-6,-7,-16,-28,-8,-4,6,-1
5,4,19,3,-3,4,18,18
2,-3,-15,-6,-2,1,2,0
-1,14,50,21,7,1,-5,-2
-2,-3,-25,5,2,-2,-5,-7
2,1,25,11,2,4,10,9
2,-5,-38,-56,-13,3,25,21
-5,1,-5,-9,-2,-13,-30,-29
0,-2,2,22,12,-1,-15,-12
-6,-11,0,-12,-1,-1,-7,-11
0,1,-3,16,2,2,15,13
3,1,6,4,8,-11,5,15
-4,-3,3,-15,-5,16,-5,-16
-2,4,19,10,-13,-19,-14,-10
0,2,20,41,17,18,8,4
-3,-8,-46,-63,-17,4,1,2
0,0,46,49,7,-8,3,1
3,5,-54,-63,-17,1,4,7
-2,1,5,-13,-19,-14,-13,-8
0,1,2,17,7,-3,-7,-4
1,0,-6,-2,0,0,3,2
1,3,9,5,3,2,0,2
-4,-4,7,11,-4,-6,0,-1
4,3,-16,-5,1,6,3,5
-2,-1,14,18,8,3,-1,-3
-2,1,-1,2,-2,1,9,8
-5,-12,-34,-31,-8,-6,-8,-6
0,6,22,8,4,2,-4,-5
5,1,4,8,-23,-9,-6,0
-5,-8,0,5,30,2,-3,-4
2,-3,9,23,11,8,9,7
4,6,-11,-30,-17,-4,9,9
-6,-2,-4,-10,-11,-19,-14,-14
3,1,14,16,-3,12,1,3
2,10,28,19,14,7,3,1
-10,-14,-48,-41,-9,-6,-5,-13
0,-1,-17,-20,-6,-5,1,13
2,-1,11,31,-1,-2,0,3
0,-3,-26,-22,-7,-5,-4,-3
-3,0,22,-10,-11,1,-1,1
3,2,-12,-8,9,-1,1,-4
-3,-6,-22,-5,0,-19,-21,-11
-4,12,43,34,6,3,16,4
6,-10,-6,0,-2,-1,-26,0
-3,-12,-31,-27,0,14,26,7
